year,month,food_cpi
2017,7,104.3234
2017,8,104.9649
2017,9,106.0877
2017,10,106.381
2017,11,105.5663
2017,12,104.4369
2018,1,103.8786
2018,2,104.3366
2018,3,104.8064
2018,4,105.5477
2018,5,106.7115
2018,6,104.1417
2018,7,101.3788
2018,8,101.7902
2018,9,104.0231
2018,10,103.476
2018,11,102.7975
2018,12,101.423
2019,1,101.3932
2019,2,100.5765
2019,3,101.8151
2019,4,104.0134
2019,5,106.2225
2019,6,104.7625
2019,7,103.9254
2019,8,104.0808
2019,9,105.742
2019,10,106.1103
2019,11,106.4321
2019,12,106.2328
2020,1,107.3507
2020,2,107.7085
2020,3,106.7731
2020,4,110.0367
2020,5,111.334
2020,6,108.2626
2020,7,105.706
2020,8,106.1476
2020,9,105.7674
2020,10,105.996
2020,11,104.139
2020,12,103.8403
2021,1,104.2942
2021,2,105.4847
2021,3,107.187
2021,4,107.8857
2021,5,107.4333
2021,6,106.5798
2021,7,106.4293
2021,8,107.5701
2021,9,108.8345
2021,10,109.2322
2021,11,108.9587
2021,12,109.3474
2022,1,109.8276
2022,2,110.2778
2022,3,111.8533
2022,4,115.2808
2022,5,119.2786
2022,6,120.4773
2022,7,122.3147
2022,8,124.4643
2022,9,128.8799
2022,10,133.4703
2022,11,133.7003
2022,12,134.4926
2023,1,134.9875
2023,2,133.3403
2023,3,135.2259
2023,4,136.5353
2023,5,135.378
2023,6,133.6827
2023,7,132.0803
2023,8,134.0229
2023,9,135.4545
2023,10,136.998
2023,11,136.5237
2023,12,134.6814
2024,1,134.9735
2024,2,133.9712
2024,3,134.5454
2024,4,135.4349
2024,5,134.1932
2024,6,133.1568
2024,7,132.3225
2024,8,133.2635
2024,9,133.4396
2024,10,134.0704
2024,11,135.044
2024,12,135.0045
2025,1,135.7792
2025,2,137.0369
2025,3,137.2976
2025,4,138.8683
2025,5,140.6186
2025,6,139.5992
2025,7,138.1798
2025,8,138.216
2025,9,140.314
2025,10,139.7286
2025,11,138.9615
2025,12,139.701
2026,1,139.87
2026,2,140.9272
2026,3,140.7994
